Year,Ranking,Song,Album,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Kevin,SongID,AlbumID,Artist1ID,Artist2ID,Artist3ID,Artist4ID,Artist5ID,Artist6ID,ApproxGenre,Topic,Music Video,Album Year,Song Length
2016,55,Thinking Out Loud,x (Deluxe Edition),Ed Sheeran,,,,,,55,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,https://open.spotify.com/album/1xn54DMo2qIqBuMqHtUsFd,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,,,,,,Pop,,,2014,4:41
2016,56,All Too Well,All Too Well,ATC,,,,,,56,https://open.spotify.com/track/0FQ29907BiycnyEQ3txcwp,https://open.spotify.com/album/3hpzVnFRzyiiJaQpVKh9Pv,https://open.spotify.com/artist/74ZHOTPP0eWWe9kLt8jHbP,,,,,,Pop,,,2014,3:53
2016,57,You Are The Music In Me,High School Musical 2 (Original Soundtrack),Troy,Gabriella,Disney,,,,57,https://open.spotify.com/track/6TRp2628QKH3kY6KrCnjqp,https://open.spotify.com/album/04Xde0FJSo4LVQ1GE36t49,https://open.spotify.com/artist/6zTbBugfNc95zo8ClFDhIn,https://open.spotify.com/artist/0GyAZiIV45rnBBf4KdGLS7,https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO,,,,Love,,,2007,3:27
2016,58,Just A Picture,Just A Picture,KYLE,Kehlani,,,,,58,https://open.spotify.com/track/3yqsrYme138DD5pwu7cn0R,https://open.spotify.com/album/4G9gQ8EIpBTP0HbGmzG1WV,https://open.spotify.com/artist/4qBgvVog0wzW75IQ48mU7v,https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX,,,,,Pop,,,2015,4:00
2016,59,Started From The Bottom,Nothing Was The Same (Deluxe),Drake,,,,,,59,https://open.spotify.com/track/6V2D8Lls36APk0THDjBDfE,https://open.spotify.com/album/2gXTTQ713nCELgPOS0qWyt,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,,,,,,Rap,,,2013,2:54
2016,60,Give Your Heart a Break,Unbroken,Demi Lovato,,,,,,60,https://open.spotify.com/track/3sP3c86WFjOzHHnbhhZcLA,https://open.spotify.com/album/1ypH0eU9RcE6wngSGSqmeY,https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,,,,,,Love,,,2011,3:25
2016,61,Cigarette Daydreams,Melophobia,Cage The Elephant,,,,,,61,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0,https://open.spotify.com/album/4EK8gtQfdVsmDTji7gBFlz,https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3,,,,,,Alternative,,,2013,3:28
2016,62,Kids,Oracular Spectacular,MGMT,,,,,,62,https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU,https://open.spotify.com/album/6mm1Skz3JE6AXneya9Nyiv,https://open.spotify.com/artist/0SwO7SWeDHJijQ3XNS7xEE,,,,,,Pop,,,2007,5:02
2016,63,How He Loves,Church Music,David Crowder Band,,,,,,63,https://open.spotify.com/track/6WSFMa721PvfnspCRsGOMh,https://open.spotify.com/album/69UXabkBHbKMJ0DQjctXtK,https://open.spotify.com/artist/7DhP3bGT7dzr1dCkkH5mTS,,,,,,Worship,,,2009,5:18
2016,64,The Heart Wants What It Wants,For You,Selena Gomez,,,,,,64,https://open.spotify.com/track/2dRvMEW4EwySxRUtEamSfG,https://open.spotify.com/album/78GeZ5IA1KSbI0MiR4bAhH,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,,,,,,Pop,,,2014,3:47
2016,65,Donald Trump,Donald Trump - Single,Mac Miller,,,,,,65,https://open.spotify.com/track/3uulVrxiI7iLTjOBZsaiF8,https://open.spotify.com/album/6eFkuEfykAUpthUiUeu3zw,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,,,,,,Country,,,2011,2:45
2016,66,Daydream,Foreword,Tori Kelly,,,,,,66,https://open.spotify.com/track/1gPVp4acBJk7vdTTwDs6rV,https://open.spotify.com/album/44D28vK3JSIQ7oQNAfoeBD,https://open.spotify.com/artist/1vSN1fsvrzpbttOYGsliDr,,,,,,Love,,,2013,4:00
2016,67,"Bitch, Don't Kill My Vibe","good kid, m.A.A.d city",Kendrick Lamar,,,,,,67,https://open.spotify.com/track/4Pwjz3DfvfQWV0rO2V8jyh,https://open.spotify.com/album/6PBZN8cbwkqm1ERj2BGXJ1,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,,,,,,Rap,,,2012,5:10
2016,68,Red,Red,Against The Current,,,,,,68,https://open.spotify.com/track/6BFNfMZR9kb6wnC5obhE4z,https://open.spotify.com/album/49zhkvdf4IAaRT7YnGwatm,https://open.spotify.com/artist/6yhD1KjhLxIETFF7vIRf8B,,,,,,Pop,,,2014,3:06
2016,69,Counting Stars,Native,OneRepublic,,,,,,69,https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62,https://open.spotify.com/album/2bbhW5ifCwOYM8DMkqoYBF,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,,,,,,Alternative,,,2014,4:17
2016,70,Often,Beauty Behind The Madness,The Weeknd,,,,,,70,https://open.spotify.com/track/5SqSckut3FcoQKmGkMWgp1,https://open.spotify.com/album/28ZKQMoNBB0etKXZ97G2SN,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,,,,,,Pop,,,2015,4:09
2016,71,I Don't Want to Be,Chariot - Stripped,Gavin DeGraw,,,,,,71,https://open.spotify.com/track/6ich2xMH5AR39V85miIAN8,https://open.spotify.com/album/0Fm4Qx8IVHEEBYPeRzNUGI,https://open.spotify.com/artist/5DYAABs8rkY9VhwtENoQCz,,,,,,Alternative,https://www.youtube.com/watch?v=-mgUP7cbStY,https://www.youtube.com/watch?v=8gFCW3PHBws,2004,3:37
2016,72,Pompeii,Bad Blood,Bastille,,,,,,72,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795,https://open.spotify.com/album/64fQ94AVziavTPdnkCS6Nj,https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc,,,,,,Alternative,,,2013,3:34
2016,73,Collect Call,Fantasies,Metric,,,,,,73,https://open.spotify.com/track/3gNynXzWWUBDm9u4FLywaC,https://open.spotify.com/album/3Oj8FdHcV6kAiOVWfkqRaA,https://open.spotify.com/artist/1rCIEwPp5OnXW0ornlSsRl,,,,,,Alternative,,,2009,4:46
2016,74,Right Above It,I Am Not A Human Being,Lil Wayne,Drake,,,,,74,https://open.spotify.com/track/1kMuU3TNQvHbqvXCWBodmP,https://open.spotify.com/album/5vfnsOgLqsgmEb3vGyc2FO,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,,,,,Rap,https://www.youtube.com/watch?v=oUvMv_MxMxQ,https://www.youtube.com/watch?v=oUvMv_MxMxQ,2010,4:31
2016,75,Give Me Faith,Kingdom Come,Elevation Worship,,,,,,75,https://open.spotify.com/track/0Iahiy5y1VEmuwTFb65tG8,https://open.spotify.com/album/1wnfwokJAwNET0FZ4X2KCH,https://open.spotify.com/artist/3YCKuqpv9nCsIhJ2v8SMix,,,,,,Worship,https://www.youtube.com/watch?v=MmSnf9AsQYc,https://www.youtube.com/watch?v=MmSnf9AsQYc,2010,4:54
2016,76,Let's Go - feat. TobyMac,Outta Space Love,Group 1 Crew,,,,,,76,https://open.spotify.com/track/64OZXIKUnbgX5ggLTUd3lq,https://open.spotify.com/album/4xzOtnia224vD82yp1oWs3,https://open.spotify.com/artist/0S4zLQlUn398bugWd6Inmq,,,,,,Worship,,,2010,4:16
2016,77,The Lovers Are Losing,Perfect Symmetry,Keane,,,,,,77,https://open.spotify.com/track/3nrDwJxJ4wU264Gs1oBgnd,https://open.spotify.com/album/5C028LGaS9zxxns0Fg95HX,https://open.spotify.com/artist/53A0W3U0s8diEn9RhXQhVz,,,,,,Alternative,,,2008,5:04
2016,78,In The Name of Love,In The Name of Love,Martin Garrix,Bebe Rexha,,,,,78,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S,https://open.spotify.com/album/1FOJ5IXGXe8dl0cXvCU6wK,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb,,,,,Pop,,,2016,3:15
