Include,,,,,Run,Cooldown,TOTAL,,,,,Guess,,Notes,,,,,,,,,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Kevin Intensity Meter,Town,Season,,Start Time,Notes,
,Monday,5,7,5/7/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
,Tuesday,5,8,5/8/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
,Wednesday,5,9,5/9/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
,Thursday,5,10,5/10/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
,Friday,5,11,5/11/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
,Saturday,5,12,5/12/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Sunday,5,13,5/13/18,387,3.55,0,9:01,6.656,32,0,0,0.4,0,17:30,3.428,7,0,387,3.95,39,0,0:39:00,,Home,Summer 2018,,10:10 AM,,
,Monday,5,14,5/14/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Tuesday,5,15,5/15/18,401,3.67,0,8:11,7.34,30,0,0,0.33,0,15:34,3.857,5,8,401,4,35,8,0:35:08,,Home,Summer 2018,,6:10 PM,,
,Wednesday,5,16,5/16/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Thursday,5,17,5/17/18,406,3.78,0,8:13,7.316,31,0,0,0.27,0,16:40,3.6,4,30,406,4.05,35,30,0:35:30,,Home,Summer 2018,,7:45 PM,,
,Friday,5,18,5/18/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
,Saturday,5,19,5/19/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,Played volleyball at the Mamlic's house at Ryan's grad party and entire body was sore for days afterwards,
,Sunday,5,20,5/20/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
,Monday,5,21,5/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
,Tuesday,5,22,5/22/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Wednesday,5,23,5/23/18,389,3.55,0,8:28,7.1,30,0,0,0.4,0,17:30,3.428,7,0,389,3.95,37,0,0:37:00,,Home,Summer 2018,,4:30 PM,,
,Thursday,5,24,5/24/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Friday,5,25,5/25/18,366,3.51,0,8:33,7.02,30,0,0,0.1,0,16:40,3.6,1,40,366,3.61,31,40,0:31:40,,Home,Summer 2018,,10:40 AM,,
