Year,Ranking,Song,Album,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6
2017,91,I Hate This Part,Doll Domination,The Pussycat Dolls,,,,,
2017,92,Let Her Go,All the Little Lights,Passenger,,,,,
2017,93,Over My Head (Cable Car),How To Save A Life,The Fray,,,,,
2017,94,Forever & Always,Fearless,Taylor Swift,,,,,
2017,95,Mr. Jones,August And Everything After,Counting Crows,,,,,
2017,96,Scandal of Grace,Zion,Hillsong UNITED,,,,,
2017,97,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,,,,,
2017,98,Sinking Deep,This Is Living,Hillsong Youth & Free,,,,,
2017,99,Good Life,Waking Up (Deluxe),OneRepublic,,,,,
2016,1,Paper Hearts,Foreword,Tori Kelly,,,,,
2016,2,Battlefield,Battlefield,Jordin Sparks,,,,,
2016,3,Know Yourself,If You're Reading This It's Too Late,Drake,,,,,
2016,4,Love Me Harder,Me Everything (Deluxe),Ariana Grande,The Weeknd,,,,
2016,5,Hollow,Unbreakable Smile,Tori Kelly,,,,,
2016,6,Far Away,All The Right Reasons (Special Edition),Nickelback,,,,,
2016,7,Jumpman,What A Time To Be Alive,Drake,Future,,,,
2016,8,Starting Over (feat. Ben Bridwell),The Heist,Macklemore & Ryan Lewis,Ben Bridwell,,,,
2016,9,Fight Night,No Label II,Migos,,,,,
2016,10,Live Your Life - feat. Rihanna,Paper Trail,T.I.,Rihanna,,,,
2016,11,Animal,Habits,Neon Trees,,,,,
2016,12,Don't Let Me Down,Don't Let Me Down,The Chainsmokers,Daya,,,,
2016,13,The Funeral,Everything All The Time,Band of Horses,,,,,
2016,14,Love Love Love,Love Love Love,Avalanche City,,,,,
2016,15,Runaway,Runaway,Ziggy Alberts,,,,,
2016,16,A Thousand Years,A Thousand Years,Christina Perri,,,,,
2016,17,What About Now,Daughtry (Deluxe Edition),Daughtry,,,,,
2016,18,Should've Been Us,Unbreakable Smile,Tori Kelly,,,,,
2016,19,Wasted,MKTO,MKTO,,,,,
