,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Start Time,,,
Ike,Tuesday,4,24,04/24/18,443,3.68,8:56,08:59,6.690,33,0,24,0.33,15:04,15:10,3.960,5,0,467,4.01,38,0,0:38:00,1:55 PM,,,
,Wednesday,4,25,04/25/18,0,0,0,,,0,0,0,0,0:00,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Thursday,4,26,04/26/18,784,6.61,7:33,07:34,7.932,50,0,24,0.33,15:04,15:10,3.960,5,0,808,6.94,55,0,0:55:00,5:00 PM,,,
Ike,Friday,4,27,04/27/18,353,2.96,8:11,08:13,7.313,24,17,24,0.32,15:01,15:10,3.958,4,51,377,3.28,29,8,0:29:08,4:30 PM,,,
,Saturday,4,28,04/28/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Sunday,4,29,04/29/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Monday,4,30,04/30/18,723,6.08,7:48,07:49,7.680,47,30,24,0.33,15:01,15:10,3.960,5,0,747,6.41,52,30,0:52:30,4:20 PM,,,
,Tuesday,5,1,05/01/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Wednesday,5,2,05/02/18,478,4.02,7:57,07:58,7.537,32,0,24,0.33,15:04,15:10,3.960,5,0,502,4.35,37,0,0:37:00,10:40 AM,,,
,Thursday,5,3,05/03/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Friday,5,4,05/04/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
