Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
1406,Kevin,5/18/2022,MLB,3,$171.87,L,-$171.87,"EACH PITCHER TO THROW A STRIKEOUT IN THE FIRST INNING ON 5/18: ZACK WHEELER, MAX SCHERZER, AND SHOHEI OHTANI","Hank's Punch Out Parlay - Back Hank: Yes - EACH PITCHER TO THROW A STRIKEOUT IN THE FIRST INNING ON 5/18: ZACK WHEELER, MAX SCHERZER, AND SHOHEI OHTANI (BOOSTED FROM +120)",Barstool Boost,120,150,$429.68,$257.81,Kevin,No,Barstool,Self,,,,,,,
1407,Kevin,5/18/2022,Golf,1,$175.38,W,$168.36,TIGER WOODS TO MAKE THE CUT AT THE 2022 PGA CHAMPIONSHIP,Fore Play Props - TIGER WOODS TO MAKE THE CUT AT THE 2022 PGA CHAMPIONSHIP (BOOSTED FROM -125),Barstool Boost,-125,-105,$343.74,$168.36,Kevin,No,Barstool,Self,,,,,,,
1408,Kevin,5/18/2022,MLB,2,$172.57,L,-$172.57,CHI CUBS TO WIN VS. PIT PIRATES AND PIT PIRATES TO SCORE UNDER 3.5 RUNS,Bet With PFT - Back PFT: Yes - PIRATES BOOTY: CHI CUBS TO WIN VS. PIT PIRATES AND PIT PIRATES TO SCORE UNDER 3.5 RUNS (BOOSTED FROM +110) (5/18),Barstool Boost,110,125,$388.28,$215.71,Kevin,No,Barstool,Self,,,,,,,
1409,Kevin,5/18/2022,NBA,1,$150.00,W,$136.50,Golden State Warriors -5.5 (Dallas Mavericks @ Golden State Warriors),Golden State Warriors -5.5 (Dallas Mavericks @ Golden State Warriors),None,-110,-110,$286.50,$136.50,Kevin,No,Barstool,Self,,,,,,,
1410,Kevin,5/18/2022,NHL,1,$25.00,L,-$25.00,Andrei Svechnikov - Anytime Goal Scorer (New York Rangers @ Carolina Hurricanes),Andrei Svechnikov - Anytime Goal Scorer (New York Rangers @ Carolina Hurricanes),None,185,185,$71.25,$46.25,Kevin,No,Barstool,Self,,,,,,,
1411,Kevin,5/18/2022,NBA,1,$250.00,W,$227.50,Under 216.5 Total Points (Dallas Mavericks @ Golden State Warriors),Under 216.5 Total Points (Dallas Mavericks @ Golden State Warriors),None,-110,-110,$477.50,$227.50,KellyInVegas,No,Barstool,Self,,,,,,,
1412,,,,,,,,,,,,,,,,,,,,,,,,,
1413,Kevin,5/19/2022,Golf,1,$50.00,L,-$50.00,PMI Super Boost - Tiger Woods to Shoot 70 or Under in Round 1 of 2022 PGA Championship,PMI Super Boost - Tiger Woods to Shoot 70 or Under in Round 1 of 2022 PGA Championship,FD Boost,175,300,$200.00,$150.00,Kevin,No,Fan Duel,Self,,,,,,,
1414,Kevin,5/19/2022,NBA,1,$50.00,L,-$50.00,Jimmy Butler and Bam Adebayo to Score 40+ Combined Points (5/19),Jimmy Butler and Bam Adebayo to Score 40+ Combined Points (5/19),FD Boost,-140,100,$100.00,$50.00,Kevin,No,Fan Duel,Self,,,,,,,
1415,Kevin,5/19/2022,MLB,3,$168.88,VOID,$0.00,"RAFAEL DEVERS, MICHAEL BRANTLEY, AND DAVID PERALTA ALL TO RECORD A HIT ON 5/19","Hit Parade - Back Rico, Carl, and Big Ev: Yes - RAFAEL DEVERS, MICHAEL BRANTLEY, AND DAVID PERALTA ALL TO RECORD A HIT ON 5/19 (BOOSTED FROM +175)",Barstool Boost,175,215,$531.97,$363.09,Kevin,No,Barstool,Self,,,,,,,
1416,Kevin,5/19/2022,NBA,1,$150.00,W,$136.50,Over 206.5 Total Points (Boston Celtics @ Miami Heat),Over 206.5 Total Points (Boston Celtics @ Miami Heat),None,-110,-110,$286.50,$136.50,KellyInVegas,No,Barstool,Self,,,,,,,
1417,Kevin,5/19/2022,NBA,1,$250.00,W,$227.50,Over 206.5 Total Points (Boston Celtics @ Miami Heat),Over 206.5 Total Points (Boston Celtics @ Miami Heat),None,-110,-110,$477.50,$227.50,KellyInVegas,No,Barstool,Self,,,,,,,
1418,Kevin,5/19/2022,MLB,1,$25.00,L,-$25.00,Kyle Tucker - Anytime HR (Texas Rangers @ Houston Astros),Kyle Tucker - Anytime HR (Texas Rangers @ Houston Astros),None,420,420,$130.00,$105.00,Kevin,No,Barstool,Self,,,,,,,
1419,,,,,,,,,,,,,,,,,,,,,,,,,
1420,Kevin,5/20/2022,NBA,1,$50.00,W,$75.00,NBA Happy Hour Boost - Stephen Curry and Luka Doncic to Make 8+ Combined Threes (5/20),NBA Happy Hour Boost - Stephen Curry and Luka Doncic to Make 8+ Combined Threes (5/20),FD Boost;Free Bet,-135,150,$75.00,$75.00,Kevin,No,Fan Duel,Self,,,,,,,
1421,Kevin,5/20/2022,NBA,2,$40.00,L,-$40.00,Hulu NBA Boost - Klay Thompson to Score 5+ 1st Quarter Points and Warriors to Win the 1st Quarter (Ties Lose),Hulu NBA Boost - Klay Thompson to Score 5+ 1st Quarter Points and Warriors to Win the 1st Quarter (Ties Lose),FD Boost;Free Bet,180,250,$100.00,$100.00,Kevin,No,Fan Duel,Self,,,,,,,
1422,Kevin,5/20/2022,NBA,2,$10.00,L,-$10.00,Hulu NBA Boost - Klay Thompson to Score 5+ 1st Quarter Points and Warriors to Win the 1st Quarter (Ties Lose),Hulu NBA Boost - Klay Thompson to Score 5+ 1st Quarter Points and Warriors to Win the 1st Quarter (Ties Lose),FD Boost,180,250,$35.00,$25.00,Kevin,No,Fan Duel,Self,,,,,,,
1423,Kevin,5/20/2022,NBA,1,$500.00,L,-$500.00,Dallas Mavericks ML (Dallas Mavericks @ Golden State Warriors),Dallas Mavericks ML (Dallas Mavericks @ Golden State Warriors),None,-118,-118,$923.73,$423.73,Kevin,Yes,Fan Duel,Self,,,"Q1 5:20 left, Dallas up 23-10",,,,
1424,Kevin,5/20/2022,MLB,1,$8.00,W,$8.80,YRFI - Atlanta Braves @ Miami Marlins,YRFI - Atlanta Braves @ Miami Marlins,None,110,110,$16.80,$8.80,Kevin,No,DK,Self,,,,,,,
1425,Kevin,5/20/2022,NBA,1,$25.00,W,$25.00,Stephen Curry - Over 3.5 Player 3PM (Dallas Mavericks @ Golden State Warriors),Stephen Curry - Over 3.5 Player 3PM (Dallas Mavericks @ Golden State Warriors),DK Special Promo,-155,100,$50.00,$25.00,Kevin,No,DK,Self,,,,,,,
1426,Kevin,5/20/2022,MLB,5,$174.75,W,$200.96,"MIA MARLINS +4.5 (VS. ATL BRAVES), BOS RED SOX +4.5 (VS. SEA MARINERS), CLE GUARDIANS +4.5 (VS. DET TIGERS), KC ROYALS +4.5 (VS. MIN TWINS) AND SD PADRES +4.5 (VS. SF GIANTS)","Big Cat's 5 Within 5 - Back Big Cat: Yes - MIA MARLINS +4.5 (VS. ATL BRAVES), BOS RED SOX +4.5 (VS. SEA MARINERS), CLE GUARDIANS +4.5 (VS. DET TIGERS), KC ROYALS +4.5 (VS. MIN TWINS) AND SD PADRES +4.5 (VS. SF GIANTS) (BOOSTED FROM -110) (5/20)",Barstool Boost,-110,115,$375.71,$200.96,Kevin,No,Barstool,Self,,,,,,,
1427,Kevin,5/20/2022,F1,1,$40.00,W,$50.00,Max Verstappen - GP WINNER - Race: Spanish GP 2022,Max Verstappen - GP WINNER - Race: Spanish GP 2022,None,125,125,$90.00,$50.00,Kevin,No,Barstool,Self,,,,,,,
1428,,,,,,,,,,,,,,,,,,,,,,,,,
1429,Kevin,5/21/2022,MLB,2,$50.00,L,-$50.00,Frankie Montas and Aaron Nola to Each Record 6+ Strikeouts (5/21),Frankie Montas and Aaron Nola to Each Record 6+ Strikeouts (5/21),FD Boost,105,145,$122.50,$72.50,DooleyData,No,Fan Duel,Self,,,,,,,
1430,Kevin,5/21/2022,F1,1,$50.00,CASHED OUT. WOULD HAVE LOST,-$25.11,Charles Leclerc - F1 Spanish GP 2022 Winner,Charles Leclerc - F1 Spanish GP 2022 Winner,Boost-AnyBet-F1,-190,-137,$86.84,$36.84,Kevin,Yes,DK,Self,,,,,,,
1431,Kevin,5/21/2022,MLB,1,$50.00,L,-$50.00,Over 6.5 Total Runs (Cincinnati Reds @ Toronto Blue Jays),Over 6.5 Total Runs (Cincinnati Reds @ Toronto Blue Jays),Boost-AnyBet-MLB,-140,-109,$96.42,$46.42,Kevin,Yes,DK,Self,,,"2nd inning, not sure how many outs",,,,
1432,Kevin,5/21/2022,NBA,1,$750.00,L,-$750.00,Tyler Herro - Over 3.5 Player Rebounds (Miami Heat @ Boston Celtics),Tyler Herro - Over 3.5 Player Rebounds (Miami Heat @ Boston Celtics),None,-115,-115,"$1,402.17",$652.17,StevenCheah,No,DK,Self,,,,,,,
1433,Kevin,5/21/2022,NBA,1,$200.00,L,-$200.00,Tyler Herro - Over 3.5 Player Rebounds (Miami Heat @ Boston Celtics),Tyler Herro - Over 3.5 Player Rebounds (Miami Heat @ Boston Celtics),None,-115,-115,$373.91,$173.91,StevenCheah,No,DK,Self,,,,,,,
1434,Kevin,5/21/2022,MLB,3,$88.84,L,-$88.84,"TOR BLUE JAYS, BOS RED SOX, AND HOU ASTROS ALL TO SCORE 3+ RUNS ON 5/21","MLB Boosts - TOR BLUE JAYS, BOS RED SOX, AND HOU ASTROS ALL TO SCORE 3+ RUNS ON 5/21 (WAS +100)",Barstool Boost,100,125,$199.89,$111.05,Kevin,No,Barstool,Self,,,,,,,
1435,Kevin,5/21/2022,NBA,3,$88.14,L,-$88.14,"JAYSON TATUM TO MAKE 3+ THREE-POINTERS, JAYLEN BROWN TO MAKE 2+ THREE-POINTERS, AND JIMMY BUTLER TO MAKE 1+ THREE-POINTERS IN MIA HEAT VS. BOS CELTICS","NBA Playoff Boosts - 3-2-1: JAYSON TATUM TO MAKE 3+ THREE-POINTERS, JAYLEN BROWN TO MAKE 2+ THREE-POINTERS, AND JIMMY BUTLER TO MAKE 1+ THREE-POINTERS IN MIA HEAT VS. BOS CELTICS (WAS +125) (5/21)",Barstool Boost,125,150,$220.35,$132.21,Kevin,No,Barstool,Self,,,,,,,
1436,Kevin,5/21/2022,MLB,2,$88.84,VOID,$0.00,ADLEY RUTSCHMAN AND WANDER FRANCO EACH TO RECORD A HIT IN TB RAYS VS. BAL ORIOLES,MLB Boosts - LET THE KIDS PLAY: ADLEY RUTSCHMAN AND WANDER FRANCO EACH TO RECORD A HIT IN TB RAYS VS. BAL ORIOLES (WAS +100) (5/21),Barstool Boost,100,125,$199.89,$111.05,Kevin,No,Barstool,Self,,,,,,,
1437,Kevin,5/21/2022,MLB,3,$168.48,L,-$168.48,"NO RUNS SCORED IN THE 1ST INNING OF ALL 3 GAMES: TB RAYS VS. BAL ORIOLES, MIN TWINS VS. KC ROYALS, AND TEX RANGERS VS. HOU ASTROS","The BEC - Back Balls, Eddie, and Clem: Yes - NO RUNS SCORED IN THE 1ST INNING OF ALL 3 GAMES: TB RAYS VS. BAL ORIOLES, MIN TWINS VS. KC ROYALS, AND TEX RANGERS VS. HOU ASTROS (BOOSTED FROM +515) (5/21)",Barstool Boost,515,565,"$1,120.39",$951.91,Kevin,No,Barstool,Self,,,,,,,
1438,Kevin,5/21/2022,NBA,1,$100.00,PUSH,$0.00,Under 212 Total Points (Miami Heat @ Boston Celtics),Under 212 Total Points (Miami Heat @ Boston Celtics),None,-112,-112,$190.00,$90.00,Kevin,Yes,Barstool,Self,,,,,,,
1439,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Kevin,5/22/2022,MLB,1,$225.00,W,$136.26,St. Louis Cardinals ML (St. Louis Cardinals @ Pittsburgh Pirates),St. Louis Cardinals ML (St. Louis Cardinals @ Pittsburgh Pirates),None,-165,-165,$361.26,$136.26,Kevin,No,DK,Self,,,,,,,
1441,Kevin,5/22/2022,MLB,1,$100.00,L,-$100.00,San Francisco Giants ML (San Diego Padres @ San Francisco Giants),San Francisco Giants ML (San Diego Padres @ San Francisco Giants),Boost-AnyBet-MLB,-135,-109,$192.59,$92.59,Kevin,No,DK,Self,,,,,,,
1442,Kevin,5/22/2022,MLB,1,$100.00,L,-$100.00,San Francisco Giants ML (San Diego Padres @ San Francisco Giants),San Francisco Giants ML (San Diego Padres @ San Francisco Giants),Boost-AnyBet-MLB,-135,-109,$192.59,$92.59,Kevin,No,DK,Self,,,,,,,
1443,Kevin,5/22/2022,MLB,1,$100.00,L,-$100.00,San Francisco Giants ML (San Diego Padres @ San Francisco Giants),San Francisco Giants ML (San Diego Padres @ San Francisco Giants),Boost-AnyBet-MLB,-135,-109,$192.59,$92.59,Kevin,No,DK,Self,,,,,,,
1444,Kevin,5/22/2022,NBA,1,$167.00,W,$151.81,Under 217 Total Points (Golden State Warriors @ Dallas Mavericks),Under 217 Total Points (Golden State Warriors @ Dallas Mavericks),None,-110,-110,$318.81,$151.81,Panic Press,No,DK,Self,,,,,,,
1445,Kevin,5/22/2022,MLB,1,$347.00,W,$229.02,St. Louis Cardinals ML (St. Louis Cardinals @ Pittsburgh Pirates),St. Louis Cardinals ML (St. Louis Cardinals @ Pittsburgh Pirates),None,-152,-152,$576.02,$229.02,Kevin,No,Barstool,Self,,,,,,,
1446,Kevin,5/22/2022,MLB,3,$88.14,L,-$88.14,"NY METS, SF GIANTS, AND LA ANGELS ALL TO SCORE 3+ RUNS ON 5/22","MLB Boosts - NY METS, SF GIANTS, AND LA ANGELS ALL TO SCORE 3+ RUNS ON 5/22 (WAS +120)",Barstool Boost,120,150,$220.35,$132.21,Kevin,No,Barstool,Self,,,,,,,
1447,Kevin,5/22/2022,NBA,1,$575.00,W,$529.00,Under 217.5 Total Points (Golden State Warriors @ Dallas Mavericks),Under 217.5 Total Points (Golden State Warriors @ Dallas Mavericks),None,-109,-109,"$1,104.00",$529.00,KellyInVegas,No,Barstool,Self,,,,,,,
1448,Kevin,5/22/2022,NBA,1,"$1,000.00",W,$920.00,Under 217 Total Points (Golden State Warriors @ Dallas Mavericks),Under 217 Total Points (Golden State Warriors @ Dallas Mavericks),None,-109,-109,"$1,920.00",$920.00,Panic Press,No,Barstool,Self,,,,,,,
1449,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Kevin,5/23/2022,NHL,1,$50.00,L,-$50.00,Steven Stamkos to Score 1+ Goals & Tampa Bay Lightning to Win (5/23),Steven Stamkos to Score 1+ Goals & Tampa Bay Lightning to Win (5/23),FD Boost,350,450,$275.00,$225.00,Kevin,No,Fan Duel,Self,,,,,,,
1451,Kevin,5/23/2022,NBA,3,$50.00,L,-$50.00,NBA Flash Boost - Jimmy Butler & Jaylen Brown to Each Score 20+ Points and Bam Adebayo to Score 15+ Points (5/23),NBA Flash Boost - Jimmy Butler & Jaylen Brown to Each Score 20+ Points and Bam Adebayo to Score 15+ Points (5/23),FD Boost,115,180,$140.00,$90.00,Kevin,No,Fan Duel,Self,,,,,,,
1452,Kevin,5/23/2022,NBA,1,$352.00,VOID,$0.00,"Marcus Smart - Over 25.5 Player Points, Rebounds, Assists (Miami Heat @ Boston Celtics)","Marcus Smart - Over 25.5 Player Points, Rebounds, Assists (Miami Heat @ Boston Celtics)",None,-115,-115,$658.08,$306.08,StevenCheah,No,DK,Self,,,,,,,
1453,Kevin,5/23/2022,MLB,1,$250.00,L,-$250.00,Over 7.5 Total Runs (Milwaukee Brewers @ San Diego Padres),Over 7.5 Total Runs (Milwaukee Brewers @ San Diego Padres),None,-115,-115,$467.39,$217.39,Kevin,No,DK,Self,,,,,,,
1454,Kevin,5/23/2022,MLB,5,$172.57,W,$181.20,"CHI CUBS +4.5 (VS. CIN REDS), TOR BLUE JAYS +4.5 (VS. STL CARDINALS), ARI DIAMONDBACKS +4.5 (VS. KC ROYALS), MIL BREWERS +4.5 (VS. SD PADRES), AND NY METS +4.5 (VS. SF GIANTS)","Big Cat's 5 Within 5 - Back Big Cat: Yes - CHI CUBS +4.5 (VS. CIN REDS), TOR BLUE JAYS +4.5 (VS. STL CARDINALS), ARI DIAMONDBACKS +4.5 (VS. KC ROYALS), MIL BREWERS +4.5 (VS. SD PADRES), AND NY METS +4.5 (VS. SF GIANTS) (BOOSTED FROM -125) (5/23)",Barstool Boost,125,105,$353.77,$181.20,Kevin,No,Barstool,Self,,,,,,,
1455,Kevin,5/23/2022,NBA,1,"$1,500.00",VOID,$0.00,"Marcus Smart - Over 25.5 Player Points, Rebounds, Assists (Miami Heat @ Boston Celtics)","Marcus Smart - Over 25.5 Player Points, Rebounds, Assists (Miami Heat @ Boston Celtics)",None,-115,-115,"$2,805.00","$1,305.00",StevenCheah,No,Barstool,Self,,,,,,,
1456,Kevin,5/23/2022,NBA,1,"$1,300.00",VOID,$0.00,"Marcus Smart - Over 25.5 Player Points, Rebounds, Assists (Miami Heat @ Boston Celtics)","Marcus Smart - Over 25.5 Player Points, Rebounds, Assists (Miami Heat @ Boston Celtics)",None,-115,-115,"$2,431.00","$1,131.00",StevenCheah,No,Barstool,Self,,,,,,,
1457,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Tommy Pham - Anytime HR (Chicago Cubs @ Cincinnati Reds),Tommy Pham - Anytime HR (Chicago Cubs @ Cincinnati Reds),None,660,660,$190.00,$165.00,Kevin,No,Fan Duel,Self,,,,,,,
1459,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Avisail Garcia - Anytime HR (Miami Marlins @ Tampa Bay Rays),Avisail Garcia - Anytime HR (Miami Marlins @ Tampa Bay Rays),None,830,830,$232.50,$207.50,Kevin,No,Fan Duel,Self,,,,,,,
1460,Kevin,5/24/2022,MLB,1,$25.00,W,$96.25,Mookie Betts - Anytime HR (Los Angeles Dodgers @ Washington Nationals),Mookie Betts - Anytime HR (Los Angeles Dodgers @ Washington Nationals),None,385,385,$121.25,$96.25,Kevin,No,Fan Duel,Self,,,,,,,
1461,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Giancarlo Stanton - Anytime HR (Baltimore Orioles @ New York Yankees),Giancarlo Stanton - Anytime HR (Baltimore Orioles @ New York Yankees),None,250,250,$87.50,$62.50,Kevin,No,Fan Duel,Self,,,,,,,
1462,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Rhys Hoskins - Anytime HR (Philadelphia Phillies @ Atlanta Braves),Rhys Hoskins - Anytime HR (Philadelphia Phillies @ Atlanta Braves),None,360,360,$115.00,$90.00,Kevin,No,Fan Duel,Self,,,,,,,
1463,Kevin,5/24/2022,MLB,1,$25.00,VOID,$0.00,Jorge Polanco - Anytime HR (Detroit Tigers @ Minnesota Twins),Jorge Polanco - Anytime HR (Detroit Tigers @ Minnesota Twins),None,590,590,$172.50,$147.50,Kevin,No,Fan Duel,Self,,,,,,,
1464,Kevin,5/24/2022,MLB,1,$25.00,W,$132.50,Vladimir Guerrero Jr. - Anytime HR (Toronto Blue Jays @ St. Louis Cardinals),Vladimir Guerrero Jr. - Anytime HR (Toronto Blue Jays @ St. Louis Cardinals),None,530,530,$157.50,$132.50,Kevin,No,Fan Duel,Self,,,,,,,
1465,Kevin,5/24/2022,MLB,1,$25.00,W,$165.00,Trevor Story - Anytime HR (Boston Red Sox @ Chicago White Sox),Trevor Story - Anytime HR (Boston Red Sox @ Chicago White Sox),None,660,660,$190.00,$165.00,Kevin,No,Fan Duel,Self,,,,,,,
1466,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Yordan Alvarez - Anytime HR (Cleveland Guardians @ Houston Astros),Yordan Alvarez - Anytime HR (Cleveland Guardians @ Houston Astros),None,285,285,$96.25,$71.25,Kevin,No,Fan Duel,Self,,,,,,,
1467,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Marcus Semien - Anytime HR (Texas Rangers @ Los Angeles Angels),Marcus Semien - Anytime HR (Texas Rangers @ Los Angeles Angels),None,570,570,$167.50,$142.50,Kevin,No,Fan Duel,Self,,,,,,,
1468,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Luke Voit - Anytime HR (Milwaukee Brewers @ San Diego Padres),Luke Voit - Anytime HR (Milwaukee Brewers @ San Diego Padres),None,500,500,$150.00,$125.00,Kevin,No,Fan Duel,Self,,,,,,,
1469,Kevin,5/24/2022,MLB,1,$25.00,W,$187.50,Julio Rodriguez - Anytime HR (Oakland Athletics @ Seattle Mariners),Julio Rodriguez - Anytime HR (Oakland Athletics @ Seattle Mariners),None,750,750,$212.50,$187.50,Kevin,No,Fan Duel,Self,,,,,,,
1470,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,Ketel Marte - Anytime HR (Kansas City Royals @ Arizona Diamondbacks),Ketel Marte - Anytime HR (Kansas City Royals @ Arizona Diamondbacks),None,520,520,$155.00,$130.00,Kevin,No,Fan Duel,Self,,,,,,,
1471,Kevin,5/24/2022,MLB,1,$25.00,VOID,$0.00,Joey Bart - Anytime HR (Arizona Diamondbacks @ New York Mets),Joey Bart - Anytime HR (Arizona Diamondbacks @ New York Mets),None,980,980,$270.00,$245.00,Kevin,No,Fan Duel,Self,,,,,,,
1472,Kevin,5/24/2022,MLB,1,$25.00,L,-$25.00,CJ Cron - Anytime HR (Colorado Rockies @ Pittsburgh Pirates),CJ Cron - Anytime HR (Colorado Rockies @ Pittsburgh Pirates),None,400,400,$125.00,$100.00,Kevin,No,Fan Duel,Self,,,,,,,
1473,Kevin,5/24/2022,NHL,1,$25.00,L,-$25.00,Carolina Hurricanes ML (Carolina Hurricanes @ New York Rangers),Carolina Hurricanes ML (Carolina Hurricanes @ New York Rangers),None,430,430,$132.50,$107.50,Kevin,Yes,Fan Duel,Self,,,9 minutes left in 2nd period,,,,
1474,Kevin,5/24/2022,NBA,1,$50.00,W,$56.81,Luka Doncic - Under 34.5 Player Points (Golden State Warriors @ Dallas Mavericks),Luka Doncic - Under 34.5 Player Points (Golden State Warriors @ Dallas Mavericks),Boost-AnyBet-NBA,-110,113,$106.81,$56.81,Kevin,No,DK,Self,,,,,,,
1475,Kevin,5/24/2022,MLB,1,$289.00,W,$375.70,Under 12.5 Total Runs (Oakland Athletics @ Seattle Mariners),Under 12.5 Total Runs (Oakland Athletics @ Seattle Mariners),None,130,130,$664.70,$375.70,Kevin,Yes,DK,Self,,,"Middle of 6th, 5-5 score",,,,
1476,Kevin,5/24/2022,MLB,3,$168.45,L,-$168.45,"AARON JUDGE, TREY MANCINI, AND MICHAEL BRANTLEY ALL TO RECORD A HIT ON 5/24","Hit Parade - Back Rico, Carl, and Big Ev: Yes - AARON JUDGE, TREY MANCINI, AND MICHAEL BRANTLEY ALL TO RECORD A HIT ON 5/24 (BOOSTED FROM +175)",Barstool Boost,175,210,$522.20,$353.75,Kevin,No,Barstool,Self,,,,,,,
1477,Kevin,5/24/2022,MLB,3,$85.76,W,$192.96,"LA ANGELS, MIL BREWERS, AND SF GIANTS ALL TO SCORE 3+ RUNS ON 5/24","MLB Boosts - LA ANGELS, MIL BREWERS, AND SF GIANTS ALL TO SCORE 3+ RUNS ON 5/24 (WAS +195)",Barstool Boost,195,225,$278.72,$192.96,Kevin,No,Barstool,Self,,,,,,,
1478,Kevin,5/24/2022,NBA,1,"$1,000.00",L,"-$1,000.00",Kevon Looney - Over 2.5 Player Assists (Golden State Warriors @ Dallas Mavericks),Kevon Looney - Over 2.5 Player Assists (Golden State Warriors @ Dallas Mavericks),None,103,103,"$2,030.00","$1,030.00",Steven Cheah,No,Barstool,Self,,,,,,,
1479,Kevin,5/24/2022,NBA,1,"$1,000.00",L,"-$1,000.00",Spencer Dinwiddie - Over 13.5 Player Points (Golden State Warriors @ Dallas Mavericks),Spencer Dinwiddie - Over 13.5 Player Points (Golden State Warriors @ Dallas Mavericks),None,-113,-113,"$1,890.00",$890.00,Steven Cheah,No,Barstool,Self,,,,,,,
1480,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Kevin,5/25/2022,NBA,1,$700.00,L,-$700.00,Boston Celtics - Over 103.5 Team Total Points (Boston Celtics @ Miami Heat),Boston Celtics - Over 103.5 Team Total Points (Boston Celtics @ Miami Heat),None,-104,-104,"$1,373.08",$673.08,MarkInPhilly,No,Fan Duel,Self,,,,,,,
1482,Kevin,5/25/2022,NBA,2,$50.00,L,-$50.00,Jayson Tatum and Jimmy Butler to Each Score 6+ First Quarter Points (5/25),Jayson Tatum and Jimmy Butler to Each Score 6+ First Quarter Points (5/25),FreeBet;FD Boost,110,170,$85.00,$85.00,Kevin,No,Fan Duel,Self,,,,,,,
1483,Kevin,5/25/2022,NHL,4,$50.00,L,-$50.00,"N. MacKinnon, C. Makar, M. Rantanen, R. O'Reilly to All Each Record 2+ Shots on Goal (5/25)","N. MacKinnon, C. Makar, M. Rantanen, R. O'Reilly to All Each Record 2+ Shots on Goal (5/25)",FreeBet;FD Boost,-120,125,$62.50,$62.50,Kevin,No,Fan Duel,Self,,,,,,,
1484,Kevin,5/25/2022,MLB,1,$100.00,W,$96.77,New York Yankees ML (Baltimore Orioles @ New York Yankees),New York Yankees ML (Baltimore Orioles @ New York Yankees),Boost-AnyBet-MLB,-155,-104,$196.77,$96.77,Kevin,No,DK,Self,,,,,,,
1485,Kevin,5/25/2022,NBA,1,$50.00,W,$59.52,Jimmy Butler - Under 24.5 Player Points (Boston Celtics @ Miami Heat),Jimmy Butler - Under 24.5 Player Points (Boston Celtics @ Miami Heat),Boost-AnyBet-NBA,-105,119,$109.52,$59.52,Kevin,No,DK,Self,,,,,,,
1486,Kevin,5/25/2022,NBA,1,$546.00,L,-$546.00,Boston Celtics - Over 103.5 Team Total Points (Boston Celtics @ Miami Heat),Boston Celtics - Over 103.5 Team Total Points (Boston Celtics @ Miami Heat),None,-110,-110,"$1,042.36",$496.36,MarkInPhilly,No,DK,Self,,,I need 15 Celtics points in 4:59,,,,
1487,Kevin,5/25/2022,NHL,1,$50.00,W,$50.00,Over 0.5 Total Goals - First 10 Minutes (St. Louis Blues @ Colorado Avalanche),Over 0.5 Total Goals - First 10 Minutes (St. Louis Blues @ Colorado Avalanche),DK Special Promo,-165,100,$100.00,$50.00,Kevin,No,DK,Self,,,End of 3rd quarter. I need 6 Celtics points in 4:59. Need 2 Celtics points in last 1:32,,,,
1488,Kevin,5/25/2022,NBA,1,$296.00,L,-$296.00,Boston Celtics - Over 94.5 Team Total Points (Boston Celtics @ Miami Heat),Boston Celtics - Over 94.5 Team Total Points (Boston Celtics @ Miami Heat),None,-110,-110,$565.09,$269.09,Kevin,Yes,DK,Self,,,,,,,
1489,Kevin,5/25/2022,MLB,5,$172.52,W,$181.15,"MIL BREWERS +4.5 (VS. SD PADRES), SEA MARINERS +4.5 (VS. OAK ATHLETICS), BAL ORIOLES +4.5 (VS. NY YANKEES), HOU ASTROS +4.5 (VS. CLE GUARDIANS), AND TEX RANGERS +4.5 (VS. LA ANGELS)","Big Cat's 5 Within 5 - Back Big Cat: Yes - MIL BREWERS +4.5 (VS. SD PADRES), SEA MARINERS +4.5 (VS. OAK ATHLETICS), BAL ORIOLES +4.5 (VS. NY YANKEES), HOU ASTROS +4.5 (VS. CLE GUARDIANS), AND TEX RANGERS +4.5 (VS. LA ANGELS) (BOOSTED FROM -120) (5/25)",Barstool Boost,-120,105,$353.67,$181.15,Kevin,No,Barstool,Self,,,,,,,
