Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
59,Kevin,1/8/2022,NFL,1,$50.00,W,$60.00,Patrick Mahomes to Have 1+ Passing TDs in Each Half v Broncos (1/8),Patrick Mahomes to Have 1+ Passing TDs in Each Half v Broncos (1/8),FD Boost,-110,120,$110.00,$60.00,Kevin,No,Fan Duel,Self,,,,,,$60.00,
60,Kevin,1/8/2022,NFL,1,$250.00,W,$138.88,Dallas Cowboys ML (Dallas Cowboys @ Philadelphia Eagles),Dallas Cowboys ML (Dallas Cowboys @ Philadelphia Eagles),None,-180,-180,$388.88,$138.88,Kevin,No,DK,Self,,,,,,$138.88,
61,Kevin,1/8/2022,NCAAB,3,$69.29,W,$103.94,"PURDUE, HOUSTON, AND PROVIDENCE ALL TO WIN","NCAAB Boosts - NOON HOOPS: PURDUE, HOUSTON, AND PROVIDENCE ALL TO WIN (WAS +120) (1/8)",Barstool Boost,120,150,$173.23,$103.94,Kevin,No,Barstool,Self,,,,,,$103.94,
62,Kevin,1/8/2022,NFL,1,$68.43,W,$239.51,TYREEK HILL OR TRAVIS KELCE TO SCORE THE FIRST TOUCHDOWN IN KC CHIEFS VS. DEN BRONCOS,NFL Boosts - TYREEK HILL OR TRAVIS KELCE TO SCORE THE FIRST TOUCHDOWN IN KC CHIEFS VS. DEN BRONCOS (WAS +245) (1/8),Barstool Boost,245,350,$307.94,$239.51,Kevin,No,Barstool,Self,,,,,,$239.51,
63,Kevin,1/8/2022,NFL,5,$136.58,L,-$136.58,"TEN TITANS, IND COLTS, BUF BILLS, AND TB BUCCANEERS ALL TO WIN, AND OVER 41.5 TOTAL POINTS IN LA CHARGERS VS. LV RAIDERS","Big Cat's Can't Lose Parlay - Back Big Cat: Yes - TEN TITANS, IND COLTS, BUF BILLS, AND TB BUCCANEERS ALL TO WIN, AND OVER 41.5 TOTAL POINTS IN LA CHARGERS VS. LV RAIDERS (BOOSTED FROM +140) (1/9)",Barstool Boost,140,225,$443.89,$307.31,Kevin,No,Barstool,Self,Big Cat,,,,,-$136.58,
64,Kevin,1/8/2022,NHL,1,$268.00,W,$222.44,Over 6.5 Total Goals (Florida Panthers @ Carolina Hurricanes),Over 6.5 Total Goals (Florida Panthers @ Carolina Hurricanes),None,-121,-121,$490.44,$222.44,Mr. Ice,No,Barstool,Self,,,,,,$222.44,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,Kevin,1/9/2022,NFL,2,$50.00,L,-$50.00,PMI Super Boost - Jonathan Taylor to Have 100+ Rush Yards and Colts to Win v Jaguars,PMI Super Boost - Jonathan Taylor to Have 100+ Rush Yards and Colts to Win v Jaguars,FD Boost,-180,100,$100.00,$50.00,Kevin,No,Fan Duel,Self,PMI,,,,,-$50.00,
67,Kevin,1/9/2022,NFL,3,$10.00,W,$42.71,3 leg NFL SGP (San Francisco 49ers @ Los Angeles Rams),"3 leg NFL SGP (San Francisco 49ers @ Los Angeles Rams). San Francisco +3.5 -114, Deebo Samuel - Anytime TD Scorer +145, Under 52.5 Total Points -310. Combined +427, no boost",None,427,427,$52.71,$42.71,KellyInVegas,No,Fan Duel,Self,,,,,,$42.71,
68,Kevin,1/9/2022,NFL,3,$10.00,W,$42.71,3 leg NFL SGP (San Francisco 49ers @ Los Angeles Rams),"3 leg NFL SGP (San Francisco 49ers @ Los Angeles Rams). San Francisco +3.5 -114, Deebo Samuel - Anytime TD Scorer +145, Under 52.5 Total Points -310. Combined +427, no boost",None,427,427,$52.71,$42.71,KellyInVegas,No,Fan Duel,Self,,,,,,$42.71,
